Year,Primary MSA City,State,Population,Sheltered Homeless_percentage,Sheltered Homeless - Under 18_percentage,Sheltered Homeless - Age 18 to 24_percentage,Sheltered Homeless - Over 24_percentage,Sheltered Homeless - Female_percentage,Sheltered Homeless - Male_percentage,Sheltered Homeless - Transgender_percentage,Sheltered Homeless - Gender Non-Conforming_percentage,Sheltered Homeless - Hispanic/Latino_percentage,Sheltered Homeless - White_percentage,Sheltered Homeless - Black or African American_percentage,Sheltered Homeless - Asian_percentage,Sheltered Homeless - American Indian or Alaska Native_percentage,Sheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Sheltered Homeless - Multiple Races_percentage,Unsheltered Homeless_percentage,Unsheltered Homeless - Under 18_percentage,Unsheltered Homeless - Age 18 to 24_percentage,Unsheltered Homeless - Over 24_percentage,Unsheltered Homeless - Female_percentage,Unsheltered Homeless - Male_percentage,Unsheltered Homeless - Transgender_percentage,Unsheltered Homeless - Gender Non-Conforming_percentage,Unsheltered Homeless - Hispanic/Latino_percentage,Unsheltered Homeless - White_percentage,Unsheltered Homeless - Black or African American_percentage,Unsheltered Homeless - Asian_percentage,Unsheltered Homeless - American Indian or Alaska Native_percentage,Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Unsheltered Homeless - Multiple Races_percentage,Overall Homeless_percentage,Overall Homeless - Under 18_percentage,Overall Homeless - Age 18 to 24_percentage,Overall Homeless - Over 24_percentage,Overall Homeless - Female_percentage,Overall Homeless - Male_percentage,Overall Homeless - Transgender_percentage,Overall Homeless - Gender Non-Conforming_percentage,Overall Homeless - Hispanic/Latino_percentage,Overall Homeless - White_percentage,Overall Homeless - Black or African American_percentage,Overall Homeless - Asian_percentage,Overall Homeless - American Indian or Alaska Native_percentage,Overall Homeless - Native Hawaiian or Other Pacific Islander_percentage,Overall Homeless - Multiple Races_percentage
2021,San Diego,CA,3274954,0.126505594,0.025801889,0.011572682,0.089131023,0.052214474,0.073649889,0.000396952,0.000244278,0.042260136,0.082169093,0.03187831,0.002778665,0.002442782,0.0014046,0.005832143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126505594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,San Antonio,TX,2604931,0.05754471,0.011708563,0.003301431,0.042534716,0.022610964,0.034703414,0.000230332,0,0.028561217,0.043302491,0.013052169,0.00030711,0.000499054,0.000115166,0.000268721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05754471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Salt Lake City,UT,1263174,0.133869127,0.020583071,0.0078374,0.105448656,0.05359515,0.079007326,0.000633325,0.000633325,0.030241281,0.100936213,0.01622896,0.001662479,0.006412418,0.002770798,0.005858259,0.049320205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183189331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Sacramento,CA,2407524,0.078296208,0.011920961,0.00830729,0.058067957,0.039958065,0.037382805,0.000539974,0.000415364,0.013374737,0.03638593,0.029075515,0.001246093,0.001702994,0.001163021,0.008722654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078296208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Virginia Beach,VA,1805562,0.064965922,0.012350725,0.003433834,0.049181363,0.026307598,0.038381401,0.000221538,5.54E-05,0.003433834,0.017999936,0.042590617,0.000276922,0.000332307,0.000110769,0.003655372,0.003378449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068344371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Richmond,VA,1326596,0.055480342,0.012211706,0.003995188,0.039273449,0.02427265,0.030830788,0.000376904,0,0.00082919,0.01085485,0.041761018,0.000452285,0.000150762,7.54E-05,0.002186046,0.007387328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06286767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Phoenix,AZ,4942837,0.073844232,0.020979854,0.004592504,0.048271873,0.032471231,0.041130225,0.000182082,6.07E-05,0.0191995,0.039835422,0.024156168,0.000728327,0.003682096,0.000263007,0.005179212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073844232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Raleigh,NC,1451468,0.059043672,0.015846026,0.00406485,0.039132795,0.026938245,0.031967636,6.89E-05,6.89E-05,0.002686935,0.012745717,0.04312875,0.000137792,0.000344479,0.000137792,0.002549143,0.043197645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102241317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Oklahoma City,OK,1443587,0.04655071,0.00623447,0.004225585,0.036090655,0.017110157,0.029024922,0.000277088,0.000138544,0.004641217,0.026115503,0.013161659,0.000207816,0.003117235,6.93E-05,0.003879226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04655071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Philadelphia,PA,6253320,0.130442709,0.033486212,0.009818784,0.087137712,0.055730396,0.074248559,0.000399788,6.40E-05,0.014936066,0.042745294,0.08147672,0.000687635,0.000479745,0.000719618,0.004333698,0.016919013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147361721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,New York,NY,19774386,0.379860088,0.111892223,0.03209202,0.235875845,0.171282183,0.206317405,0.002118903,0.000141597,0.131377025,0.077342477,0.271472399,0.004131607,0.002129017,0.006776443,0.018008144,0.01573753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395597618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Pittsburgh,PA,2365176,0.026509655,0.005369579,0.002114008,0.019026068,0.010147236,0.016151018,0.000169121,4.23E-05,0.001987167,0.010316357,0.013149127,0.000211401,8.46E-05,0,0.00274821,0.00274821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029257865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Portland,OR,2518310,0.099828853,0.011634787,0.007425615,0.080768452,0.035817671,0.062144851,0.00095302,0.000913311,0.013461409,0.069491048,0.013699664,0.000833893,0.004447427,0.003097315,0.008259507,0.014176174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114005027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Providence,MA,1676880,0.084382902,0.023853824,0.006440532,0.054088545,0.037689042,0.046395687,0.000298173,0,0.022243691,0.050271934,0.021826249,0.000238538,0.001133057,0.000596346,0.010316779,0.013358141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097741043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
